FOLDER;YEAR;MONTH;DAY;HOUR;MINUTE;SECOND;DEPARTMENT;FLOOR;IMAGES[3083];RGB OBJ[10824];THERMAL OBJ[10881]
2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;136;317;316
2024-04-29-14-45-11_bag_DEI_4;2024;4;29;14;45;11;DEI;4;164;902;909
2024-04-29-14-57-35_bag_DEEC_4;2024;4;29;14;57;35;DEEC;4;68;185;143
2024-05-07-13-42-00_bag_DEEC_4;2024;5;7;13;42;0;DEEC;4;152;529;529
2024-05-07-13-54-12_bag_DEEC_2;2024;5;7;13;54;12;DEEC;2;75;188;189
2024-05-07-14-05-58_bag_DEEC_3;2024;5;7;14;5;58;DEEC;3;76;195;194
2024-05-07-14-13-29_bag_DEEC_4;2024;5;7;14;13;29;DEEC;4;29;160;163
2024-05-08-15-07-59_bag_DEI_4;2024;5;8;15;7;59;DEI;4;227;1251;1248
2024-05-08-15-18-54_bag_DEEC_4;2024;5;8;15;18;54;DEEC;4;110;400;410
2024-05-09-09-59-39_bag_DEI_2;2024;5;9;9;59;39;DEI;2;110;145;146
2024-05-09-10-07-45_bag_DEI_4;2024;5;9;10;7;45;DEI;4;183;753;758
2024-05-09-10-16-08_bag_DEEC_4;2024;5;9;10;16;8;DEEC;4;102;284;286
2024-05-09-10-49-49_bag_DEEC_2;2024;5;9;10;49;49;DEEC;2;70;92;93
2024-05-09-10-56-15_bag_DEI_2;2024;5;9;10;56;15;DEI;2;149;384;387
2024-05-09-11-04-02_bag_DEI_2;2024;5;9;11;4;2;DEI;2;219;650;647
2024-05-09-11-16-35_bag_DEEC_4;2024;5;9;11;16;35;DEEC;4;44;137;144
2024-05-09-15-23-58_bag_DEEC_2;2024;5;9;15;23;58;DEEC;2;4;11;11
2024-05-09-15-24-46_bag_DEEC_2;2024;5;9;15;24;46;DEEC;2;11;22;22
2024-05-09-15-26-04_bag_DEEC_2;2024;5;9;15;26;4;DEEC;2;12;29;29
2024-05-09-15-27-02_bag_DEEC_2;2024;5;9;15;27;2;DEEC;2;3;3;3
2024-05-09-15-30-32_bag_DEI_2;2024;5;9;15;30;32;DEI;2;97;202;222
2024-05-09-15-35-55_bag_DEI_4;2024;5;9;15;35;55;DEI;4;104;751;775
2024-05-09-15-41-57_bag_DEEC_4;2024;5;9;15;41;57;DEEC;4;134;528;542
2024-05-09-15-48-42_bag_DEEC_2;2024;5;9;15;48;42;DEEC;2;83;127;127
2024-05-09-15-53-32_bag_DEEC_2;2024;5;9;15;53;32;DEEC;2;5;5;5
2024-05-09-15-53-49_bag_DEEC_2;2024;5;9;15;53;49;DEEC;2;3;2;2
2024-05-16-10-38-51_bag_DEEC_2;2024;5;16;10;38;51;DEEC;2;20;18;18
2024-05-16-10-40-09_bag_DEEC_2;2024;5;16;10;40;9;DEEC;2;10;12;12
2024-05-16-10-41-18_bag_DEEC_2;2024;5;16;10;41;18;DEEC;2;3;2;2
2024-05-16-10-49-46_bag_DEEC_4;2024;5;16;10;49;46;DEEC;4;143;645;661
2024-05-16-10-57-44_bag_DEI_4;2024;5;16;10;57;44;DEI;4;115;877;875
2024-05-16-12-31-33_bag_DEEC_2;2024;5;16;12;31;33;DEEC;2;24;50;49
2024-05-16-12-33-00_bag_DEEC_2;2024;5;16;12;33;0;DEEC;2;32;51;50
2024-05-16-12-34-46_bag_DEEC_2;2024;5;16;12;34;46;DEEC;2;13;31;30
2024-05-16-12-37-44_bag_DEI_2;2024;5;16;12;37;44;DEI;2;9;9;9
2024-05-16-12-38-27_bag_DEI_2;2024;5;16;12;38;27;DEI;2;1;1;1
2024-05-16-12-39-13_bag_DEI_2;2024;5;16;12;39;13;DEI;2;2;2;2
2024-05-16-12-39-56_bag_DEI_2;2024;5;16;12;39;56;DEI;2;20;54;52
2024-05-16-12-41-15_bag_DEI_2;2024;5;16;12;41;15;DEI;2;19;23;23
2024-05-16-12-43-58_bag_DEI_2;2024;5;16;12;43;58;DEI;2;62;153;153
2024-05-16-12-46-51_bag_DEI_2;2024;5;16;12;46;51;DEI;2;5;5;5
2024-05-16-12-49-36_bag_DEI_2;2024;5;16;12;49;36;DEI;2;44;126;125
2024-05-16-12-51-40_bag_DEI_2;2024;5;16;12;51;40;DEI;2;45;96;96
2024-05-16-12-53-40_bag_DEI_2;2024;5;16;12;53;40;DEI;2;14;14;14
2024-05-16-12-55-24_bag_DEI_2;2024;5;16;12;55;24;DEI;2;31;49;49
2024-05-16-12-59-29_bag_DEEC_2;2024;5;16;12;59;29;DEEC;2;101;354;355
