FILE;ROSBAG FILE;YEAR;MONTH;DAY;HOUR;MINUTE;SECOND;DEPARTMENT;FLOOR;THERMAL OBJECTS;RGB OBJECTS
000042_1714385383414469868;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;5;5
000081_1714385387313820526;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;4;4
000113_1714385390514104140;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;4;4
000136_1714385392813666981;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;4;4
000178_1714385397013775859;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;4;4
000201_1714385399314620986;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;4;4
000233_1714385402517938648;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;5;5
000256_1714385404816101842;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;4;4
000293_1714385408517362440;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
000316_1714385410814666953;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
000348_1714385414014266052;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;1;1
000378_1714385417012788526;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;2;2
000415_1714385420714054464;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;1;1
000454_1714385424611093194;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;1;1
000497_1714385428914883974;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
000521_1714385431313384711;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;2;2
000543_1714385433514272992;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;2;2
000571_1714385436314377960;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
000603_1714385439515611588;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;2;2
000642_1714385443417033937;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;2;2
000686_1714385447817648025;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
000709_1714385450113444815;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
000730_1714385452213605706;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;4;4
000767_1714385455913975346;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;6;6
000791_1714385458317428426;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
000835_1714385462712594852;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;2
000864_1714385465612406258;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
000885_1714385467712756475;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;4
000940_1714385473214623465;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;2;2
000963_1714385475510306241;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;2;2
000995_1714385478715508657;2024-04-29-11-09-38_bag_DEEC_4;2024;4;29;11;9;38;DEEC;4;3;3
